TrialNo,ItemNo,Verb,QUD,Sentence 1,Sentence 2,Condition,Order,SubjNo,Block,Correct,Instrument(do they use the big instrument?),Description,Type,
2,T8,Scratch,What should we do to a squirrel?,Scratch the squirrel with the comb,"Now, have the squirrels dance",Inst,Backward,s5,First,,0,,Mod,
7,T1,Throw,What should we do to a bat?,Throw the bat with the towel,"Now, have the animals cartwheel",Inst,Backward,s5,First,,0,,Mod,
11,T6,Pinch,What should we do to a giraffe?,Pinch the giraffe with the glove,"Now, roll the animals down the shelf",Inst,Backward,s5,First,,0,,Mod,
14,T4,Turn Over,What should we do to a kangaroo?,Turn over the kangaroo with the spoon,"Now, use the spoon to bop the egg",Inst,Backward,s5,First,,0,,Mod,
17,T2,Point at,Which bear should we play with now?,Point at the bear with the pen,"Now, sit the hairclip on your head",Mod,Backward,s5,Second,,0,,Mod,
21,T3,Drag,Which zebra should we play with now?,Drag the zebra with the hook,"Now, have the two zebras kiss",Mod,Backward,s5,Second,,0,,Mod,
23,T7,Blow On,Which dinosaur should we play with now?,Blow on the dinosaur with the tube,"Now, stick your tongue out at the block",Mod,Backward,s5,Second,,0,,Mod,
26,T5,Feel,Which leopard should we play with now?,Feel the leopard with the pencil,"Now, hide the pencil under the leaf",Mod,Backward,s5,Second,,0,,Mod,
2,T8,Scratch,What should we do to a squirrel?,Scratch the squirrel with the comb,"Now, have the squirrels dance",Inst,Backward,s20,First,,0,initially touched large comb but stopped,Mod,
7,T1,Throw,What should we do to a bat?,Throw the bat with the towel,"Now, have the animals cartwheel",Inst,Backward,s20,First,,0,,Mod,
11,T6,Pinch,What should we do to a giraffe?,Pinch the giraffe with the glove,"Now, roll the animals down the shelf",Inst,Backward,s20,First,,0,,Mod,
14,T4,Turn Over,What should we do to a kangaroo?,Turn over the kangaroo with the spoon,"Now, use the spoon to bop the egg",Inst,Backward,s20,First,,0,turned over the kangaroo holding the egg,Mod,
17,T2,Point at,Which bear should we play with now?,Point at the bear with the pen,"Now, sit the hairclip on your head",Mod,Backward,s20,Second,,0,,Mod,
