Name ,Trial,Marker Name,Object Code,Action?,Start
s16,T5,LR,,,00:01:39:17
s16,T5,BL,,,00:01:39:20
s16,T5,LR,,,00:01:40:00
s16,T5,UR,,,00:01:40:21
s16,T5,UR,,x,00:01:42:19
s16,T7 ,UL,,,00:03:58:13
s16,T7,LL,,,00:04:00:05
s16,T7,CN,,,00:04:00:19
s16,T7,LR,,,00:04:00:20
s16,T7,LR,,x,00:04:01:10
s16,T3,BL,,,00:05:33:14
s16,T3,OT,,,00:05:33:16
s16,T3,CN,,,00:05:35:17
s16,T3,UR,,,00:05:35:18
s16,T3,LR,,,00:05:35:21
s16,T3,CN,,,00:05:36:05
s16,T3,LL,,,00:05:36:06
s16,T3,LL,,x,00:05:36:19
s16,T2,LL,,,00:08:48:15
s16,T2,OT,,,00:08:50:14
s16,T2,UL,,,00:08:50:15
s16,T2,UL,,x,00:08:51:07
s16,T4,LL,,,00:11:38:06
s16,T4,BL,,,00:11:39:08
s16,T4,LL,,,00:11:39:13
s16,T4,LL,,x,00:11:41:04
s16,T6,LR,,,00:14:07:11
s16,T6,CN,,,00:14:08:02
s16,T6,LL,,,00:14:08:03
s16,T6,OT,,,00:14:08:13
s16,T6,UL,,,00:14:08:14
s16,T6,CN,,,00:14:08:23
s16,T6,UR,,,00:14:08:24
s16,T6,UR,,x,00:14:09:21
s16,T1,OT,,,00:17:23:05
s16,T1,CN,,,00:17:23:10
s16,T1,LL,,,00:17:23:11
s16,T1,UL,,,00:17:24:12
s16,T1,UL,,x,00:17:25:10
s16,T8,LR,,,00:21:28:05
s16,T8,BL,,,00:21:28:10
s16,T8,CN,,,00:21:28:14
s16,T8,LR,,,00:21:29:02
s16,T8,BL,,,00:21:30:10
s16,T8,LR,,,00:21:30:14
s16,T8,LR,,x,00:21:30:22
