Name ,Trial,Marker Name,Object Code,Action?,Start
s15,T8,CN,,,00:01:14:20
s15,T8,BL,,,00:01:15:02
s15,T8,CN,,,00:01:15:05
s15,T8,LR,,,00:01:16:07
s15,T8,LR,,X,00:01:17:01
s15,T1,CN,,,00:04:56:19
s15,T1,UL,,,00:04:57:24
s15,T1,UL,,X,00:04:58:19
s15,T6,CN,,,00:08:25:23
s15,T6,BL,,,00:08:25:24
s15,T6,CN,,,00:08:26:03
s15,T6,UR,,,00:08:27:12
s15,T6,UR,,X,00:08:28:04
s15,T4,CN,,,00:10:51:20
s15,T4,UR,,,00:10:51:21
s15,T4,CN,,,00:10:52:00
s15,T4,UR,,,00:10:53:16
s15,T4,UR,,X,00:10:54:03
s15,T2,CN,,,00:13:29:21
s15,T2,UL,,,00:13:31:05
s15,T2,UL,,X,00:13:31:18
s15,T3,CN,,,00:16:48:18
s15,T3,LL,,,00:16:49:24
s15,T3,UL,,,00:16:50:05
s15,T3,OT,,,00:16:50:09
s15,T3,UR,,,00:16:50:10
s15,T3,CN,,,00:16:50:14
s15,T3,LL,,,00:16:50:15
s15,T3,BL,,,00:16:50:18
s15,T3,LL,,X,00:16:50:23
s15,T7,LR,,,00:18:22:17
s15,T7,BL,,,00:18:23:10
s15,T7,LR,,,00:18:23:15
s15,T7,CN,,,00:18:24:09
s15,T7,LL,,,00:18:24:10
s15,T7,LL,,X,00:18:25:00
s15,T5,CN,,,00:21:03:17
s15,T5,LR,,,00:21:03:23
s15,T5,UR,,,00:21:04:08
s15,T5,CN,,,00:21:05:00
s15,T5,UL,,,00:21:05:01
s15,T5,UR,,,00:21:05:07
s15,T5,UR,,X,00:21:05:21
