Name ,Trial,Marker Name,Object Code,Action?,Start
s4,T5,UR,,,00:01:28:11
s4,T5,LR,,,00:01:28:19
s4,T5,UR,,,00:01:29:21
s4,T5,UR,,x,00:01:30:06
s4,T7,CN,,,00:03:41:18
s4,T7,LR,,,00:03:43:12
s4,T7,LR,,x,00:03:43:23
s4,T3,LL,,,00:05:25:04
s4,T3,LL,,x,00:05:27:04
s4,T2,LL,,,00:08:31:12
s4,T2,UL,,,00:08:33:00
s4,T2,UL,,x,00:08:33:09
s4,T4,CN,,,00:10:52:20
s4,T4,UR,,,00:10:54:09
s4,T4,LL,,,00:10:54:17
s4,T4,LL,,x,00:10:55:05
s4,T6,UL,,,00:13:26:23
s4,T6,CN,,,00:13:27:09
s4,T6,LR,,,00:13:27:14
s4,T6,UR,,,00:13:28:11
s4,T6,UR,,x,00:13:29:11
s4,T1,CN,,,00:16:46:09
s4,T1,LL,,,00:16:46:22
s4,T1,UL,,,00:16:47:23
s4,T1,UL,,x,00:16:48:12
s4,T8,BL,,,00:20:39:05
s4,T8,CN,,,00:20:39:09
s4,T8,LR,,,00:20:40:03
s4,T8,LR,,x,00:20:40:22
