Name ,Trial,Marker Name,Object Code,Action?,Start
s2,T8,CN,,,00:01:52:01
s2,T8,UL,,,00:01:52:07
s2,T8,CN,,,00:01:52:21
s2,T8,LR,,,00:01:53:08
s2,T8,LR,,x,00:01:54:02
s2,T1,LL,,,00:06:05:19
s2,T1,UL,,,00:06:06:23
s2,T1,BL,,,00:06:07:06
s2,T1,UL,,,00:06:07:08
s2,T1,BL,,,00:06:07:11
s2,T1,UL,,x,00:06:07:13
s2,T6,OT,,,00:09:44:18
s2,T6,OT,,,00:09:45:05
s2,T6,BL,,,00:09:45:09
s2,T6,UR,,,00:09:45:12
s2,T6,LR,,,00:09:45:23
s2,T6,UR,,x,00:09:46:09
s2,T4,CN,,,00:12:16:08
s2,T4,BL,,,00:12:16:09
s2,T4,CN,,,00:12:16:14
s2,T4,LL,,,00:12:16:17
s2,T4,OT,,,00:12:17:10
s2,T4,CN,,,00:12:17:11
s2,T4,OT,,,00:12:17:19
s2,T4,UR,,,00:12:17:20
s2,T4,LL,,,00:12:18:03
s2,T4,LL,,x,00:12:18:09
s2,T2,CN,,,00:14:44:07
s2,T2,BL,,,00:14:44:08
s2,T2,UL,,,00:14:44:12
s2,T2,CN,,,00:14:45:02
s2,T2,LL,,,00:14:45:13
s2,T2,OT,,,00:14:45:19
s2,T2,UL,,,00:14:45:20
s2,T2,UL,,x,00:14:46:06
s2,T3,LL,,,00:18:01:03
s2,T3,BL,,,00:18:01:13
s2,T3,OT,,,00:18:01:17
s2,T3,OT,,,00:18:01:24
s2,T3,LL,,x,00:18:02:18
s2,T7,LR,,,00:19:35:08
s2,T7,CN,,,00:19:35:11
s2,T7,UL,,,00:19:35:12
s2,T7,CN,,,00:19:36:23
s2,T7,LR,,,00:19:36:24
s2,T7,LR,,x,00:19:37:05
s2,T5,LR,,,00:21:46:22
s2,T5,UR,,,00:21:48:02
s2,T5,UR,,x,00:21:48:12
