Name ,Trial,Marker Name,Object Code,Action?,Start
s20,T8,UL,,,00:01:16:18
s20,T8,OT,,,00:01:16:19
s20,T8,BL,,,00:01:16:20
s20,T8,CN,,,00:01:16:24
s20,T8,LR,,,00:01:17:11
s20,T8,OT,,,00:01:18:07
s20,T8,LL,,,00:01:18:08
s20,T8,CN,,,00:01:19:22
s20,T8,LR,,,00:01:19:23
s20,T8,LR,,x,00:01:20:03
s20,T1,UL,,,00:05:07:09
s20,T1,UR,,,00:05:07:23
s20,T1,OT,,,00:05:08:14
s20,T1,CN,,,00:05:08:20
s20,T1,UL,,,00:05:08:21
s20,T1,UL,,x,00:05:09:15
s20,T6,LR,,,00:08:28:24
s20,T6,UR,,,00:08:29:12
s20,T6,BL,,,00:08:31:05
s20,T6,CN,,,00:08:31:09
s20,T6,UL,,,00:08:31:10
s20,T6,CN,,,00:08:31:16
s20,T6,UR,,,00:08:31:17
s20,T6,BL,,,00:08:31:21
s20,T6,UR,,,00:08:32:02
s20,T6,UR,,x,00:08:32:03
s20,T4,CN,,,00:10:53:14
s20,T4,UR,,,00:10:55:02
s20,T4,BL,,,00:10:56:01
s20,T4,UR,,,00:10:56:04
s20,T4,UR,,x,00:10:56:20
s20,T2,LL,,,00:13:39:04
s20,T2,UL,,,00:13:39:22
s20,T2,LL,,,00:13:40:12
s20,T2,UL,,,00:13:40:17
s20,T2,UL,,x,00:13:41:00
s20,T3,BL,,,00:16:52:06
s20,T3,LL,,,00:16:52:13
s20,T3,OT,,,00:16:53:24
s20,T3,CN,,,00:16:54:00
s20,T3,LR,,,00:16:54:01
s20,T3,OT,,,00:16:54:13
s20,T3,BL,,,00:16:54:14
s20,T3,LL,,,00:16:54:17
s20,T3,LL,,x,00:16:54:24
s20,T7,LR,,,00:18:25:19
s20,T7,BL,,,00:18:25:20
s20,T7,LR,,,00:18:26:00
s20,T7,BL,,,00:18:27:22
s20,T7,LL,,,00:18:28:02
s20,T7,LL,,x,00:18:28:06
s20,T5,UR,,,00:20:51:13
s20,T5,BL,,,00:20:51:14
s20,T5,LR,,,00:20:51:18
s20,T5,UR,,,00:20:52:24
s20,T5,OT,,,00:20:53:04
s20,T5,UL,,,00:20:53:05
s20,T5,UL,,x,00:20:53:20
