Name ,Trial,Marker Name,Object Code,Action?,Start
s18,T5,CN,,,00:01:46:13
s18,T5,LR,,,00:01:48:05
s18,T5,UR,,,00:01:48:15
s18,T5,UR,,x,00:01:49:04
s18,T7,CN,,,00:04:35:03
s18,T7,LR,,,00:04:37:07
s18,T7,LR,,x,00:04:38:00
s18,T3,CN,,,00:06:32:08
s18,T3,UR,,,00:06:33:10
s18,T3,BL,,,00:06:33:11
s18,T3,UR,,,00:06:33:15
s18,T3,OT,,,00:06:34:16
s18,T3,LL,,,00:06:34:17
s18,T3,LL,,x,00:06:35:06
s18,T2,CN,,,00:10:18:24
s18,T2,UL,,,00:10:20:10
s18,T2,UL,,x,00:10:21:04
s18,T4,CN,,,00:12:50:02
s18,T4,OT,,,00:12:52:01
s18,T4,LL,,,00:12:52:02
s18,T4,LL,,x,00:12:52:20
s18,T6,CN,,,00:15:39:04
s18,T6,UL,,,00:15:40:22
s18,T6,LR,,,00:15:41:15
s18,T6,LR,,x,00:15:41:17
s18,T1,CN,,,00:19:29:02
s18,T1,UL,,,00:19:30:22
s18,T1,UL,,x,00:19:31:23
s18,T8,CN,,,00:24:02:06
s18,T8,LR,,,00:24:03:15
s18,T8,LR,,x,00:24:04:05
