Name ,Trial,Marker Name,Object Code,Action?,Start
s14,T8,CN,,,00:02:24:21
s14,T8,UL,,,00:02:25:07
s14,T8,CN,,,00:02:25:20
s14,T8,LR,,,00:02:26:14
s14,T8,BL,,,00:02:27:24
s14,T8,CN,,,00:02:28:02
s14,T8,CN,,2,00:02:28:12
s14,T1,CN,,,00:07:29:01
s14,T1,LL,,,00:07:30:01
s14,T1,CN,,,00:07:30:08
s14,T1,UR,,,00:07:30:16
s14,T1,CN,,,00:07:31:02
s14,T1,LL,,,00:07:31:03
s14,T1,BL,,,00:07:31:24
s14,T1,UR,,,00:07:32:02
s14,T1,UR,,2,00:07:32:09
s14,T6,CN,,,00:11:38:13
s14,T6,UR,,,00:11:40:04
s14,T6,UR,,x,00:11:40:19
s14,T4,BL,,,00:14:42:22
s14,T4,CN,,,00:14:42:23
s14,T4,LL,,,00:14:44:06
s14,T4,LL,,x,00:14:45:04
s14,T2,CN,,,00:17:36:19
s14,T2,BL,,,00:17:38:08
s14,T2,UL,,,00:17:38:11
s14,T2,UL,,x,00:17:38:20
s14,T3,CN,,,00:21:33:10
s14,T3,BL,,,00:21:35:00
s14,T3,LL,,,00:21:35:05
s14,T3,LL,,x,00:21:35:24
s14,T7,OT,,,00:23:53:03
s14,T7,BL,,,00:23:53:08
s14,T7,CN,,,00:23:53:12
s14,T7,LR,,,00:23:55:06
s14,T7,LR,,x,00:23:55:18
s14,T5,CN,,,00:26:45:18
s14,T5,UR,,,00:26:46:08
s14,T5,UR,,x,00:26:47:18
