Name ,Trial,Marker Name,Object Code,Action?,Start
s9,T5,CN,,,00:01:25:02
s9,T5,BL,,,00:01:25:06
s9,T5,LR,,,00:01:25:09
s9,T5,UR,,,00:01:26:13
s9,T5,UR,,x,00:01:27:18
s9,T7,LR,,,00:03:47:09
s9,T7,LR,,x,00:03:50:05
s9,T3,LL,,,00:05:21:15
s9,T3,BL,,,00:05:21:17
s9,T3,UR,,,00:05:21:19
s9,T3,CN,,,00:05:23:03
s9,T3,LL,,,00:05:23:04
s9,T3,LL,,x,00:05:24:14
s9,T2,UL,,,00:08:30:05
s9,T2,CN,,,00:08:30:20
s9,T2,LR,,,00:08:30:21
s9,T2,BL,,,00:08:31:03
s9,T2,LL,,,00:08:31:09
s9,T2,OT,,,00:08:31:13
s9,T2,UL,,,00:08:31:14
s9,T2,UL,,x,00:08:32:08
s9,T4,UR,,,00:10:53:04
s9,T4,BL,,,00:10:53:07
s9,T4,LL,,,00:10:53:11
s9,T4,BL,,,00:10:54:01
s9,T4,UR,,,00:10:54:04
s9,T4,BL,,,00:10:54:23
s9,T4,LL,,,00:10:55:01
s9,T4,LL,,,00:10:56:05
s9,T6,TL,,,00:13:31:14
s9,T6,UR,,,00:13:32:16
s9,T6,TL,,x,00:13:33:01
s9,T6,TL,,x,00:13:33:05
s9,T1,LL,,,00:16:48:03
s9,T1,BL,,,00:16:49:11
s9,T1,UL,,,00:16:49:14
s9,T1,OT,,,00:16:50:03
s9,T1,UR,,,00:16:50:04
s9,T1,UL,,,00:16:50:13
s9,T1,UL,,x,00:16:50:21
s9,T8,UL,,,00:20:46:04
s9,T8,BL,,,00:20:46:07
s9,T8,LR,,,00:20:46:10
s9,T8,LR,,x,00:20:48:20
