Name ,Trial,Marker Name,Object Code,Action?,Start
s23,T8,BL,,,00:01:45:09
s23,T8,UL,,,00:01:45:12
s23,T8,BL,,,00:01:45:20
s23,T8,UL,,,00:01:45:24
s23,T8,UR,,,00:01:46:06
s23,T8,LR,,,00:01:46:13
s23,T8,LL,,,00:01:47:16
s23,T8,LL,,x,00:01:47:24
s23,T1,BL,,,00:06:05:14
s23,T1,UL,,,00:06:05:19
s23,T1,CN,,,00:06:05:24
s23,T1,BL,,,00:06:06:03
s23,T1,LL,,,00:06:06:07
s23,T1,UL,,,00:06:06:12
s23,T1,UL,,x,00:06:07:13
s23,T6,BL,,,00:09:21:20
s23,T6,CN,,,00:09:21:22
s23,T6,BL,,,00:09:22:03
s23,T6,LR,,,00:09:22:07
s23,T6,BL,,,00:09:22:17
s23,T6,LR,,,00:09:22:24
s23,T6,UR,,,00:09:23:08
s23,T6,UR,,x,00:09:24:00
s23,T4,CN,,,00:12:11:21
s23,T4,BL,,,00:12:11:22
s23,T4,CN,,,00:12:12:01
s23,T4,BL,,,00:12:12:16
s23,T4,CN,,,00:12:12:21
s23,T4,LL,,,00:12:13:00
s23,T4,BL,,,00:12:14:13
s23,T4,LL,,x,00:12:14:17
s23,T2,LL,,,00:14:42:11
s23,T2,BL,,,00:14:42:19
s23,T2,LL,,,00:14:42:23
s23,T2,BL,,,00:14:43:06
s23,T2,UL,,,00:14:43:09
s23,T2,LL,,,00:14:44:01
s23,T2,UL,,,00:14:44:05
s23,T2,UL,,x,00:14:44:14
s23,T3,LL,,,00:18:11:04
s23,T3,BL,,,00:18:11:09
s23,T3,LL,,,00:18:11:12
s23,T3,CN,,,00:18:11:18
s23,T3,LL,,,00:18:11:24
s23,T3,LL,,x,00:18:13:15
s23,T7,LL,,,00:19:56:22
s23,T7,BL,,,00:19:56:24
s23,T7,CN,,,00:19:57:03
s23,T7,BL,,,00:19:57:15
s23,T7,CN,,,00:19:57:19
s23,T7,UL,,,00:19:58:01
s23,T7,LL,,,00:19:59:12
s23,T7,LL,,x,00:19:59:20
s23,T5,LR,,,00:22:18:18
s23,T5,BL,,,00:22:18:22
s23,T5,LR,,,00:22:19:02
s23,T5,OT,,,00:22:19:23
s23,T5,UR,,,00:22:19:24
s23,T5,UR,,x,00:22:20:22
